timestamp,date,no2,voc,pm10,pm2.5,no2plume,voc plume,pm10 plume,pm2.5 plume,pm1 ,pm1 plume
1691113507,04-08-2023 01:45,17,122,21.952713,14.895662,16,10,22,30,7,18
1691113567,04-08-2023 01:46,16,121,16.04242,14.876076,15,10,16,30,11,28
1691113627,04-08-2023 01:47,17,119,16.41793,15.417931,16,10,16,31,10,25
1691113687,04-08-2023 01:48,17,121,22.807274,14.052501,16,10,23,28,8,19
1691113747,04-08-2023 01:49,16,122,13.123546,10.299492,15,10,13,21,9,23
1691113807,04-08-2023 01:50,16,121,13.133,12.133,15,10,13,24,9,22
1691113867,04-08-2023 01:51,17,122,26.13033,9.183721,16,10,26,18,7,17
1691113927,04-08-2023 01:52,17,120,17.813696,10.762819,16,10,18,22,8,20
1691113987,04-08-2023 01:53,17,118,30.365854,10.402752,16,9,30,21,9,24
1691114047,04-08-2023 01:54,17,119,15.793114,10.252021,16,10,16,21,9,22
1691114107,04-08-2023 01:55,17,121,13.134901,12.134901,16,10,13,24,9,22
1691114167,04-08-2023 01:56,17,116,14.373544,13.373544,16,9,14,27,9,24
1691114227,04-08-2023 01:57,17,116,18.676527,12.713914,16,9,19,25,8,19
1691114287,04-08-2023 01:58,17,116,14.399283,13.268182,16,9,14,27,9,24
1691114347,04-08-2023 01:59,17,118,24.076933,11.3213005,16,9,24,23,6,16
1691114407,04-08-2023 02:00,17,120,14.818157,13.818157,16,10,15,28,10,24
1691114467,04-08-2023 02:01,17,117,16.774725,15.774725,16,9,17,32,9,23
1691114527,04-08-2023 02:02,17,117,19.456963,15.530974,16,9,19,31,8,19
1691114587,04-08-2023 02:03,17,116,21.719753,20.719753,16,9,22,41,11,27
1691114647,04-08-2023 02:04,17,118,16.988728,15.988728,16,9,17,32,12,30
1691114707,04-08-2023 02:05,15,124,14.382101,13.382101,14,10,14,27,8,21
1691114767,04-08-2023 02:06,12,122,15.98666,14.98666,11,10,16,30,9,23
1691114827,04-08-2023 02:07,11,125,12.374714,11.374714,11,10,12,23,6,14
1691114887,04-08-2023 02:08,10,126,18.82827,17.82827,10,10,19,36,9,22
1691114947,04-08-2023 02:09,10,127,21.388634,20.388634,9,10,21,41,11,28
1691115007,04-08-2023 02:10,10,123,13.273077,12.273077,10,10,13,25,8,19
1691115067,04-08-2023 02:11,11,124,16.13483,15.134831,11,10,16,30,10,25
1691115127,04-08-2023 02:12,10,127,23.0583,22.0583,10,10,23,44,13,33
1691115187,04-08-2023 02:13,10,129,26.862007,25.862007,10,10,27,52,16,41
1691115247,04-08-2023 02:14,12,132,21.190186,20.190186,11,11,21,40,14,35
1691115307,04-08-2023 02:15,11,135,19.514027,18.514027,11,11,20,37,11,27
1691115367,04-08-2023 02:16,12,130,17.59148,16.59148,11,10,18,33,12,30
1691115427,04-08-2023 02:17,13,134,19.603848,18.603848,12,11,20,37,14,35
1691115487,04-08-2023 02:18,12,134,18.2528,17.2528,11,11,18,35,11,27
1691115547,04-08-2023 02:19,12,133,18.939957,17.939957,11,11,19,36,10,25
1691115607,04-08-2023 02:20,12,136,16.197292,15.197293,11,11,16,30,9,24
1691115667,04-08-2023 02:21,13,137,15.032187,14.032187,12,11,15,28,11,29
1691115727,04-08-2023 02:22,13,136,16.796871,15.796871,12,11,17,32,14,34
1691115787,04-08-2023 02:23,14,134,10.810715,9.810715,13,11,11,20,7,18
1691115847,04-08-2023 02:24,13,136,23.490122,22.490122,12,11,23,45,13,33
1691115907,04-08-2023 02:25,14,138,24.177273,23.177273,13,11,24,46,14,35
1691115967,04-08-2023 02:26,14,139,18.799938,17.799938,0,11,19,36,12,30
1691116027,04-08-2023 02:27,14,139,14.809492,13.809492,13,11,15,28,13,32
1691116087,04-08-2023 02:28,14,135,25.163445,24.163445,13,11,25,48,16,39
1691116147,04-08-2023 02:29,14,139,14.315133,13.315133,13,11,14,27,11,26
1691116207,04-08-2023 02:30,14,138,26.059498,25.059498,13,11,26,50,17,42
1691116267,04-08-2023 02:31,14,133,21.169563,20.169563,13,11,21,40,12,29
1691116327,04-08-2023 02:32,15,139,19.933899,18.933899,14,11,20,38,14,34
1691116387,04-08-2023 02:33,14,135,15.236264,14.236264,13,11,15,28,12,30
1691116447,04-08-2023 02:34,15,135,25.49077,24.49077,14,11,25,49,13,32
1691116507,04-08-2023 02:35,15,134,21.20969,20.20969,14,11,21,40,12,30
1691116567,04-08-2023 02:36,15,134,20.830761,19.830761,0,11,21,40,11,28
